exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e1,coscheduled,491,0,8,2,1788855069.481870908,1788855069.684218,1788855096.519953,1788855096.543277,1788855096.566189,1788855101.697518,1788855069.820873,1788855101.748026,1,1788855069.589639818,5,0,900,0
e1,baseline,491,0,8,3,1788855102.043860754,1788855102.239414,,1788855102.300838,1788855102.323282,1788855133.977591,,,1,1788855102.150462051,5,0,900,0
e1,coscheduled,491,0,8,3,1788855134.274771581,1788855134.475531,1788855161.310725,1788855161.334083,1788855161.356941,1788855166.488502,1788855134.611312,1788855166.538676,1,1788855134.382137475,5,0,900,0
e1,coscheduled,491,0,8,4,1788855166.835447799,1788855167.036082,1788855193.870614,1788855193.893933,1788855193.916882,1788855199.048166,1788855167.172094,1788855199.098191,1,1788855166.942736523,5,0,900,0
e1,baseline,491,0,8,4,1788855199.387666565,1788855199.580959,,1788855199.642452,1788855199.664970,1788855231.318741,,,1,1788855199.495183927,5,0,900,0
e1,baseline,491,0,8,5,1788855231.621829453,1788855231.815146,,1788855231.877118,1788855231.899878,1788855263.555208,,,1,1788855231.728401906,5,0,900,0
e1,coscheduled,491,0,8,5,1788855263.853676741,1788855264.053779,1788855290.889725,1788855290.913013,1788855290.936020,1788855296.066952,1788855264.190538,1788855296.117182,1,1788855263.960711784,5,0,900,0
e1,baseline,491,0,8,6,1788855296.409018851,1788855296.602110,,1788855296.663608,1788855296.686106,1788855328.338108,,,1,1788855296.515442425,5,0,900,0
e1,coscheduled,491,0,8,6,1788855328.635091274,1788855328.836012,1788855355.671994,1788855355.695263,1788855355.718380,1788855360.849939,1788855328.972958,1788855360.900752,1,1788855328.742877408,5,0,900,0
e1,coscheduled,491,0,8,7,1788855361.196505196,1788855361.397614,1788855388.233154,1788855388.256464,1788855388.279675,1788855393.411929,1788855361.533954,1788855393.462788,1,1788855361.304230778,5,0,900,0
e1,baseline,491,0,8,7,1788855393.754884460,1788855393.946961,,1788855394.008547,1788855394.031164,1788855425.686239,,,1,1788855393.861450658,5,0,900,0
e1,coscheduled,491,0,8,8,1788855425.987443933,1788855426.188880,1788855453.024918,1788855453.048307,1788855453.071295,1788855458.203672,1788855426.325088,1788855458.254080,1,1788855426.095068994,5,0,900,0
e1,baseline,491,0,8,8,1788855458.546524668,1788855458.741008,,1788855458.802641,1788855458.825352,1788855490.479465,,,1,1788855458.652982196,5,0,900,0
e1,coscheduled,491,0,8,9,1788855490.780217733,1788855490.980548,1788855517.815758,1788855517.839170,1788855517.862264,1788855522.993705,1788855491.117120,1788855523.044238,1,1788855490.887245515,5,0,900,0
e1,baseline,491,0,8,9,1788855523.337008367,1788855523.529654,,1788855523.591319,1788855523.613981,1788855555.265807,,,1,1788855523.444416566,5,0,900,0
e1,baseline,491,0,8,10,1788855555.563570214,1788855555.755992,,1788855555.818154,1788855555.841133,1788855587.496054,,,1,1788855555.670593761,5,0,900,0
e1,coscheduled,491,0,8,10,1788855587.796168401,1788855587.997452,1788855614.833102,1788855614.856615,1788855614.879668,1788855620.011080,1788855588.133905,1788855620.061575,1,1788855587.903275554,5,0,900,0
